med_count;mae;rmse;prec;recall
10;0.729798515;1.00116581;0.449711969;0.275311364
15;0.729692471;1.001959903;0.441919917;0.274311878
20;0.730965005;1.001642342;0.439584467;0.273608125
25;0.728844115;1.001218769;0.452865573;0.277140924
30;0.733085896;1.004496782;0.436321549;0.273854932
35;0.73552492;1.009183705;0.424413542;0.275121648
40;0.732873807;1.006921961;0.468386134;0.277340935
45;0.73107105;1.005920965;0.453139264;0.277321709
50;0.732343584;1.003810344;0.457606955;0.274737849
55;0.733297985;1.005868254;0.472790361;0.277120204
60;0.734146341;1.0076589;0.434257072;0.276803232
65;0.733828208;1.009288779;0.412733945;0.276734707
70;0.736055143;1.01269775;0.466534484;0.277378274
75;0.734888653;1.00907862;0.455663838;0.276037114
80;0.736585366;1.009708966;0.450515651;0.273986019
85;0.734676564;1.007395769;0.456365951;0.276211507
90;0.735949099;1.011912084;0.440988454;0.277268846
95;0.73552492;1.00865817;0.462664068;0.277539516
