threshold;mae;rmse
10;0.733;1.004
15;0.732;1.003
20;0.735;1.006
25;0.735;1.006
30;0.736;1.008
35;0.732;1.005
40;0.736;1.008
45;0.734;1.007
50;0.736;1.008
55;0.74;1.011
60;0.737;1.011
65;0.74;1.012
70;0.743;1.015
75;0.737;1.011
80;0.739;1.011
85;0.738;1.011
90;0.744;1.015
95;0.747;1.02
100;0.745;1.017
105;0.746;1.017
110;0.747;1.02
115;0.74;1.015
120;0.751;1.024
125;0.747;1.019
130;0.753;1.025
135;0.744;1.019
140;0.756;1.028
145;0.747;1.021
150;0.752;1.027
155;0.755;1.028
160;0.746;1.021
165;0.745;1.021
170;0.76;1.036
175;0.754;1.026
180;0.753;1.027
185;0.759;1.033
190;0.754;1.028
195;0.761;1.033
200;0.76;1.037
205;0.752;1.026
210;0.76;1.034
215;0.755;1.027
220;0.755;1.03
225;0.76;1.03
230;0.766;1.038
235;0.76;1.039
240;0.76;1.032
245;0.762;1.036
250;0.764;1.037
255;0.769;1.042
260;0.763;1.042
265;0.754;1.03
270;0.766;1.04
275;0.77;1.039
280;0.771;1.044
285;0.776;1.053
290;0.766;1.041
295;0.764;1.039
300;0.766;1.043
305;0.775;1.051
310;0.766;1.041
315;0.774;1.048
320;0.768;1.048
325;0.778;1.049
330;0.775;1.052
335;0.77;1.043
340;0.767;1.041
345;0.776;1.053
350;0.772;1.047
355;0.78;1.056
360;0.777;1.052
365;0.78;1.056
370;0.778;1.051
375;0.78;1.052
380;0.774;1.052
385;0.778;1.053
390;0.778;1.058
395;0.782;1.051
400;0.781;1.052
405;0.786;1.059
410;0.779;1.054
415;0.78;1.054
420;0.777;1.051
425;0.79;1.067
430;0.785;1.063
435;0.786;1.063
440;0.784;1.057
445;0.786;1.058
450;0.787;1.056
455;0.791;1.06
460;0.784;1.057
465;0.792;1.064
470;0.784;1.06
475;0.792;1.069
480;0.79;1.066
485;0.79;1.062
490;0.797;1.07
495;0.788;1.061
500;0.789;1.066
505;0.791;1.063
510;0.795;1.067
515;0.798;1.072
520;0.794;1.062
525;0.808;1.076
530;0.792;1.069
535;0.79;1.064
540;0.808;1.081
545;0.791;1.06
550;0.797;1.074
555;0.792;1.067
560;0.806;1.078
565;0.795;1.068
570;0.8;1.07
575;0.818;1.094
580;0.798;1.07
585;0.8;1.073
590;0.79;1.06
595;0.793;1.064
600;0.799;1.074
605;0.805;1.079
610;0.811;1.08
615;0.798;1.066
620;0.811;1.081
625;0.811;1.089
630;0.807;1.079
635;0.806;1.078
640;0.798;1.07
645;0.812;1.083
650;0.807;1.084
655;0.807;1.081
660;0.812;1.081
665;0.811;1.085
670;0.811;1.081
675;0.823;1.091
680;0.816;1.09
685;0.808;1.076
690;0.806;1.086
695;0.816;1.087
