meds_count;mae;rmse
10;0.73;1.001
15;0.729;0.999
20;0.73;0.999
25;0.732;1.004
30;0.731;1.002
35;0.731;1.004
40;0.732;1.003
45;0.733;1.004
50;0.733;1.004
55;0.732;1.001
60;0.731;1.004
65;0.733;1.003
70;0.733;1.006
75;0.735;1.007
80;0.729;1.001
85;0.74;1.011
90;0.736;1.007
95;0.736;1.008
100;0.735;1.009
105;0.741;1.016
110;0.741;1.014
115;0.741;1.016
120;0.737;1.012
125;0.741;1.011
130;0.744;1.014
135;0.739;1.011
140;0.745;1.016
145;0.746;1.018
150;0.741;1.012
155;0.748;1.021
160;0.742;1.018
165;0.75;1.021
170;0.747;1.019
175;0.742;1.019
180;0.746;1.018
185;0.745;1.022
190;0.746;1.019
195;0.75;1.026
200;0.75;1.025
205;0.747;1.023
210;0.747;1.025
215;0.761;1.033
220;0.747;1.024
225;0.759;1.03
230;0.75;1.026
235;0.749;1.026
240;0.753;1.027
245;0.761;1.036
250;0.756;1.031
255;0.766;1.04
260;0.761;1.036
265;0.753;1.027
270;0.764;1.036
275;0.757;1.035
280;0.776;1.05
285;0.765;1.038
290;0.756;1.031
295;0.76;1.035
300;0.762;1.036
305;0.766;1.043
310;0.764;1.038
315;0.766;1.042
320;0.761;1.038
325;0.775;1.051
330;0.767;1.04
335;0.775;1.048
340;0.767;1.046
345;0.773;1.052
350;0.774;1.051
355;0.768;1.041
360;0.772;1.048
365;0.777;1.053
370;0.777;1.049
375;0.777;1.055
380;0.767;1.045
385;0.771;1.047
390;0.781;1.054
395;0.787;1.06
400;0.776;1.05
405;0.778;1.051
410;0.776;1.053
415;0.769;1.046
420;0.78;1.059
425;0.778;1.053
430;0.781;1.059
435;0.78;1.06
440;0.778;1.054
445;0.784;1.063
450;0.783;1.056
455;0.779;1.053
460;0.793;1.068
465;0.791;1.069
470;0.795;1.067
475;0.785;1.063
480;0.79;1.064
485;0.79;1.067
490;0.791;1.065
495;0.79;1.068
500;0.794;1.065
505;0.786;1.062
510;0.793;1.067
515;0.809;1.087
520;0.797;1.07
525;0.799;1.075
530;0.79;1.068
535;0.794;1.069
540;0.795;1.07
545;0.795;1.068
550;0.798;1.077
555;0.798;1.073
560;0.785;1.058
565;0.801;1.079
570;0.788;1.066
575;0.791;1.069
580;0.797;1.067
585;0.79;1.064
590;0.801;1.076
595;0.806;1.08
600;0.797;1.076
605;0.797;1.073
610;0.808;1.082
615;0.805;1.079
620;0.803;1.076
625;0.803;1.078
630;0.816;1.089
635;0.806;1.079
640;0.798;1.08
645;0.812;1.084
650;0.805;1.088
655;0.801;1.075
660;0.804;1.082
665;0.803;1.074
670;0.813;1.089
675;0.806;1.077
680;0.807;1.081
685;0.811;1.082
690;0.799;1.079
695;0.817;1.091
