k;mae;rmse
10;0.728;1.007
15;0.723;1.002
20;0.72;0.996
25;0.718;0.996
30;0.718;0.995
35;0.722;0.997
40;0.719;0.996
45;0.72;0.995
50;0.721;0.995
55;0.722;0.994
60;0.721;0.995
65;0.723;0.996
70;0.722;0.995
75;0.722;0.996
80;0.721;0.995
85;0.723;0.996
90;0.723;0.996
95;0.724;0.996
100;0.723;0.995
105;0.724;0.997
110;0.725;0.997
115;0.723;0.996
120;0.725;0.997
125;0.725;0.998
130;0.725;0.998
135;0.725;0.997
140;0.725;0.997
145;0.726;0.998
150;0.724;0.997
155;0.724;0.997
160;0.724;0.997
165;0.724;0.997
170;0.724;0.997
175;0.724;0.997
180;0.724;0.996
185;0.723;0.996
190;0.724;0.997
195;0.723;0.996
200;0.723;0.995
205;0.723;0.996
210;0.723;0.996
215;0.723;0.996
220;0.722;0.996
225;0.723;0.996
230;0.723;0.996
235;0.723;0.996
240;0.723;0.997
245;0.723;0.996
250;0.723;0.996
255;0.724;0.997
260;0.725;0.998
265;0.725;0.997
270;0.725;0.997
275;0.725;0.998
280;0.725;0.998
285;0.724;0.997
290;0.725;0.998
295;0.725;0.998
300;0.726;0.998
305;0.726;0.999
310;0.726;0.999
315;0.727;1
320;0.727;0.999
325;0.727;0.999
330;0.727;0.999
335;0.728;1
340;0.728;1
345;0.727;0.999
350;0.728;1
355;0.727;1
360;0.728;1
365;0.727;1
370;0.727;1
375;0.728;1
380;0.728;1
385;0.727;1
390;0.727;1
395;0.728;1
400;0.727;1
405;0.728;1
410;0.728;1
415;0.727;1
420;0.727;1
425;0.727;1
430;0.727;1
435;0.728;1
440;0.728;1
445;0.729;1.001
450;0.729;1.002
455;0.728;1.001
460;0.728;1.001
465;0.728;1.001
470;0.729;1.002
475;0.729;1.001
480;0.729;1.001
485;0.729;1.001
490;0.729;1.001
495;0.73;1.002
500;0.73;1.002
505;0.73;1.002
510;0.729;1.002
515;0.73;1.002
520;0.73;1.002
525;0.73;1.002
530;0.73;1.002
535;0.729;1.002
540;0.729;1.002
545;0.729;1.002
550;0.73;1.002
555;0.729;1.002
560;0.73;1.002
565;0.73;1.002
570;0.73;1.002
575;0.729;1.002
580;0.73;1.002
585;0.729;1.002
590;0.73;1.002
595;0.73;1.002
600;0.729;1.002
605;0.729;1.002
610;0.729;1.002
615;0.729;1.001
620;0.729;1.002
625;0.729;1.002
630;0.729;1.002
635;0.729;1.002
640;0.729;1.001
645;0.729;1.002
650;0.729;1.002
655;0.729;1.002
660;0.73;1.002
665;0.73;1.002
670;0.729;1.002
675;0.729;1.002
680;0.729;1.002
685;0.729;1.002
690;0.729;1.001
695;0.729;1.002
