meds_count;mae;rmse
10;0.733;1.004
15;0.732;1.004
20;0.733;1.006
25;0.732;1.005
30;0.733;1.006
35;0.736;1.008
40;0.735;1.008
45;0.734;1.008
50;0.736;1.009
55;0.739;1.014
60;0.74;1.013
65;0.746;1.015
70;0.737;1.01
75;0.742;1.015
80;0.741;1.015
85;0.739;1.014
90;0.742;1.018
95;0.741;1.013
100;0.743;1.016
105;0.749;1.023
110;0.749;1.021
115;0.745;1.021
120;0.745;1.015
125;0.745;1.019
130;0.748;1.02
135;0.745;1.019
140;0.749;1.022
145;0.746;1.022
150;0.752;1.027
155;0.753;1.024
160;0.749;1.024
165;0.758;1.032
170;0.756;1.034
175;0.756;1.032
180;0.755;1.028
185;0.754;1.032
190;0.759;1.033
195;0.761;1.035
200;0.754;1.028
205;0.763;1.039
210;0.753;1.028
215;0.761;1.033
220;0.759;1.035
225;0.756;1.032
230;0.761;1.034
235;0.761;1.038
240;0.768;1.046
245;0.761;1.037
250;0.767;1.045
255;0.763;1.038
260;0.758;1.035
265;0.761;1.033
270;0.771;1.044
275;0.768;1.042
280;0.767;1.042
285;0.768;1.037
290;0.773;1.044
295;0.771;1.044
300;0.775;1.049
305;0.772;1.043
310;0.778;1.049
315;0.769;1.046
320;0.77;1.04
325;0.772;1.041
330;0.781;1.054
335;0.776;1.051
340;0.775;1.047
345;0.776;1.053
350;0.776;1.051
355;0.774;1.047
360;0.777;1.052
365;0.779;1.053
370;0.787;1.06
375;0.784;1.058
380;0.784;1.052
385;0.781;1.054
390;0.782;1.056
395;0.781;1.053
400;0.778;1.053
405;0.787;1.06
410;0.787;1.064
415;0.784;1.059
420;0.8;1.072
425;0.778;1.052
430;0.774;1.051
435;0.788;1.06
440;0.789;1.066
445;0.789;1.062
450;0.791;1.065
455;0.797;1.069
460;0.793;1.066
465;0.797;1.068
470;0.788;1.058
475;0.787;1.062
480;0.792;1.067
485;0.794;1.068
490;0.791;1.062
495;0.792;1.063
500;0.807;1.08
505;0.805;1.08
510;0.796;1.069
515;0.797;1.071
520;0.793;1.066
525;0.806;1.079
530;0.8;1.073
535;0.794;1.064
540;0.798;1.07
545;0.802;1.075
550;0.797;1.069
555;0.794;1.067
560;0.811;1.082
565;0.8;1.073
570;0.798;1.072
575;0.796;1.073
580;0.803;1.073
585;0.812;1.083
590;0.792;1.062
595;0.801;1.07
600;0.805;1.077
605;0.808;1.081
610;0.81;1.076
615;0.803;1.078
620;0.798;1.071
625;0.807;1.081
630;0.814;1.088
635;0.8;1.072
640;0.797;1.069
645;0.812;1.087
650;0.802;1.074
655;0.804;1.075
660;0.816;1.09
665;0.813;1.084
670;0.818;1.089
675;0.818;1.086
680;0.812;1.085
685;0.818;1.091
690;0.82;1.089
695;0.822;1.093
