k;mae;rmse
10;0.733;1.002
15;0.733;1.003
20;0.732;1.002
25;0.733;1.004
30;0.732;1.002
35;0.732;1.003
40;0.731;1.001
45;0.73;1.001
50;0.73;1.001
55;0.73;1.001
60;0.731;1.001
65;0.73;1
70;0.731;1
75;0.731;1.001
80;0.731;1.001
85;0.73;1.001
90;0.731;1.001
95;0.731;1.001
100;0.73;1.001
105;0.731;1.001
110;0.73;1.001
115;0.73;1
120;0.728;0.999
125;0.729;0.999
130;0.729;0.999
135;0.728;0.999
140;0.729;0.999
145;0.729;1
150;0.73;1
155;0.73;1
160;0.73;1.001
165;0.73;1
170;0.73;1
175;0.73;1.001
180;0.73;1.001
185;0.73;1.001
190;0.73;1
195;0.73;1.001
200;0.731;1.001
205;0.73;1.001
210;0.731;1.001
215;0.73;1.001
220;0.73;1.001
225;0.731;1.001
230;0.731;1.001
235;0.73;1.001
240;0.73;1.001
245;0.731;1.001
250;0.73;1.001
255;0.73;1.001
260;0.73;1.001
265;0.73;1.001
270;0.73;1.001
275;0.73;1.001
280;0.73;1.001
285;0.73;1.001
290;0.73;1.001
295;0.73;1.001
300;0.729;1.001
305;0.73;1.001
310;0.73;1.001
315;0.729;1.001
320;0.73;1.001
325;0.729;1.001
330;0.729;1.001
335;0.729;1.001
340;0.729;1
345;0.729;1
350;0.729;1.001
355;0.729;1
360;0.729;1
365;0.729;1.001
370;0.729;1
375;0.729;1.001
380;0.73;1.001
385;0.73;1.001
390;0.73;1.001
395;0.73;1.001
400;0.729;1.001
405;0.729;1
410;0.729;1
415;0.729;1.001
420;0.729;1
425;0.729;1.001
430;0.729;1.001
435;0.729;1
440;0.729;1.001
445;0.73;1.001
450;0.73;1.001
455;0.729;1.001
460;0.73;1.001
465;0.729;1
470;0.729;1
475;0.729;1
480;0.729;1
485;0.729;1
490;0.73;1
495;0.729;1
500;0.729;1
505;0.729;1
510;0.729;1
515;0.729;1
520;0.729;1
525;0.73;1
530;0.729;1
535;0.729;1
540;0.729;0.999
545;0.729;0.999
550;0.729;1
555;0.73;1.001
560;0.73;1.001
565;0.73;1.001
570;0.73;1.001
575;0.73;1.001
580;0.729;1.001
585;0.729;1
590;0.729;1
595;0.729;1.001
600;0.729;1.001
605;0.73;1.001
610;0.73;1.001
615;0.73;1.001
620;0.73;1.001
625;0.73;1.001
630;0.73;1.001
635;0.731;1.002
640;0.731;1.002
645;0.73;1.001
650;0.73;1.002
655;0.73;1.001
660;0.73;1.001
665;0.73;1.001
670;0.73;1.001
675;0.729;1.001
680;0.73;1.001
685;0.729;1.001
690;0.729;1.001
695;0.73;1.001
