k;mae;rmse
10;0.731;1
15;0.731;1
20;0.731;1
25;0.731;1
30;0.731;1
35;0.731;1
40;0.731;1
45;0.731;1
50;0.731;1
55;0.731;1
60;0.731;1
65;0.731;1
70;0.731;1
75;0.731;1
80;0.731;1
85;0.731;1
90;0.731;1
95;0.731;1
100;0.731;1
105;0.731;1
110;0.731;1
115;0.731;1
120;0.731;1
125;0.731;1
130;0.731;1
135;0.731;1
140;0.731;1
145;0.731;1
150;0.731;1
155;0.731;1
160;0.731;1
165;0.731;1
170;0.731;1
175;0.731;1
180;0.731;1
185;0.731;1
190;0.731;1
195;0.731;1
200;0.731;1
205;0.731;1
210;0.731;1
215;0.731;1
220;0.731;1
225;0.731;1
230;0.731;1
235;0.731;1
240;0.731;1
245;0.731;1
250;0.731;1
255;0.731;1
260;0.731;1
265;0.731;1
270;0.731;1
275;0.731;1
280;0.731;1
285;0.731;1
290;0.731;1
295;0.731;1
300;0.731;1
305;0.731;1
310;0.731;1
315;0.731;1
320;0.731;1
325;0.731;1
330;0.731;1
335;0.731;1
340;0.731;1
345;0.731;1
350;0.731;1
355;0.731;1
360;0.731;1
365;0.731;1
370;0.731;1
375;0.731;1
380;0.731;1
385;0.731;1
390;0.731;1
395;0.731;1
400;0.731;1
405;0.731;1
410;0.731;1
415;0.731;1
420;0.731;1
425;0.731;1
430;0.731;1
435;0.731;1
440;0.731;1
445;0.731;1
450;0.731;1
455;0.731;1
460;0.731;1
465;0.731;1
470;0.731;1
475;0.731;1
480;0.731;1
485;0.731;1
490;0.731;1
495;0.731;1
500;0.731;1
505;0.731;1
510;0.731;1
515;0.731;1
520;0.731;1
525;0.731;1
530;0.731;1
535;0.731;1
540;0.731;1
545;0.731;1
550;0.731;1
555;0.731;1
560;0.731;1
565;0.731;1
570;0.731;1
575;0.731;1
580;0.731;1
585;0.731;1
590;0.731;1
595;0.731;1
600;0.731;1
605;0.731;1
610;0.731;1
615;0.731;1
620;0.731;1
625;0.731;1
630;0.731;1
635;0.731;1
640;0.731;1
645;0.731;1
650;0.731;1
655;0.731;1
660;0.731;1
665;0.731;1
670;0.731;1
675;0.731;1
680;0.731;1
685;0.731;1
690;0.731;1
695;0.731;1
