meds_count;mae;rmse
10;0.73;1.002
15;0.73;1.001
20;0.732;1.005
25;0.73;1.002
30;0.734;1.005
35;0.733;1.004
40;0.735;1.007
45;0.735;1.007
50;0.737;1.006
55;0.737;1.008
60;0.736;1.006
65;0.737;1.008
70;0.739;1.011
75;0.737;1.009
80;0.738;1.01
85;0.739;1.011
90;0.739;1.011
95;0.745;1.017
100;0.748;1.016
105;0.745;1.018
110;0.747;1.017
115;0.746;1.018
120;0.744;1.015
125;0.747;1.018
130;0.743;1.014
135;0.751;1.022
140;0.752;1.024
145;0.749;1.019
150;0.751;1.023
155;0.753;1.026
160;0.755;1.024
165;0.752;1.024
170;0.757;1.028
175;0.753;1.026
180;0.758;1.027
185;0.763;1.034
190;0.753;1.024
195;0.753;1.023
200;0.757;1.028
205;0.765;1.037
210;0.764;1.034
215;0.754;1.026
220;0.759;1.029
225;0.759;1.03
230;0.76;1.034
235;0.769;1.041
240;0.752;1.025
245;0.776;1.044
250;0.761;1.03
255;0.77;1.04
260;0.772;1.044
265;0.77;1.039
270;0.763;1.033
275;0.768;1.035
280;0.762;1.032
285;0.765;1.036
290;0.771;1.043
295;0.771;1.042
300;0.768;1.04
305;0.773;1.044
310;0.771;1.043
315;0.775;1.049
320;0.768;1.037
325;0.778;1.049
330;0.77;1.041
335;0.778;1.051
340;0.774;1.044
345;0.775;1.042
350;0.78;1.051
355;0.788;1.058
360;0.781;1.051
365;0.776;1.043
370;0.778;1.045
375;0.78;1.051
380;0.783;1.052
385;0.79;1.06
390;0.783;1.056
395;0.783;1.051
400;0.78;1.05
405;0.784;1.052
410;0.779;1.048
415;0.78;1.049
420;0.788;1.055
425;0.796;1.063
430;0.786;1.057
435;0.797;1.069
440;0.788;1.059
445;0.779;1.047
450;0.795;1.062
455;0.796;1.07
460;0.789;1.059
465;0.786;1.057
470;0.784;1.056
475;0.788;1.059
480;0.801;1.073
485;0.792;1.06
490;0.791;1.064
495;0.801;1.069
500;0.797;1.063
505;0.794;1.059
510;0.793;1.061
515;0.81;1.078
520;0.794;1.066
525;0.803;1.072
530;0.802;1.066
535;0.796;1.066
540;0.807;1.076
545;0.798;1.066
550;0.81;1.079
555;0.795;1.063
560;0.798;1.062
565;0.806;1.073
570;0.805;1.071
575;0.795;1.068
580;0.8;1.069
585;0.798;1.067
590;0.809;1.076
595;0.807;1.073
600;0.808;1.078
605;0.806;1.076
610;0.818;1.085
615;0.803;1.073
620;0.805;1.074
625;0.807;1.074
630;0.8;1.069
635;0.818;1.085
640;0.816;1.08
645;0.805;1.074
650;0.809;1.076
655;0.805;1.072
660;0.812;1.084
665;0.812;1.077
670;0.81;1.075
675;0.81;1.076
680;0.809;1.081
685;0.812;1.08
690;0.815;1.081
695;0.81;1.078
