meds_count;mae;rmse
10;0.781;1.066
15;0.78;1.066
20;0.779;1.063
25;0.78;1.066
30;0.781;1.066
35;0.78;1.066
40;0.781;1.066
45;0.78;1.067
50;0.782;1.068
55;0.778;1.065
60;0.781;1.065
65;0.783;1.068
70;0.784;1.068
75;0.784;1.071
80;0.778;1.066
85;0.781;1.067
90;0.781;1.069
95;0.784;1.07
100;0.783;1.068
105;0.784;1.069
110;0.78;1.066
115;0.78;1.066
120;0.781;1.066
125;0.783;1.071
130;0.787;1.072
135;0.782;1.064
140;0.782;1.067
145;0.78;1.067
150;0.783;1.067
155;0.783;1.066
160;0.782;1.068
165;0.78;1.065
170;0.783;1.07
175;0.783;1.068
180;0.785;1.07
185;0.782;1.069
190;0.782;1.065
195;0.781;1.068
200;0.785;1.072
205;0.783;1.068
210;0.784;1.068
215;0.784;1.069
220;0.782;1.069
225;0.783;1.069
230;0.787;1.072
235;0.784;1.07
240;0.787;1.071
245;0.785;1.07
250;0.782;1.066
255;0.784;1.069
260;0.786;1.069
265;0.785;1.071
270;0.781;1.066
275;0.787;1.072
280;0.785;1.07
285;0.783;1.07
290;0.786;1.072
295;0.785;1.072
300;0.784;1.069
305;0.788;1.074
310;0.784;1.069
315;0.79;1.08
320;0.786;1.071
325;0.786;1.071
330;0.784;1.068
335;0.787;1.071
340;0.784;1.071
345;0.787;1.074
350;0.788;1.073
355;0.786;1.07
360;0.786;1.07
365;0.786;1.07
370;0.785;1.07
375;0.79;1.073
380;0.782;1.068
385;0.787;1.073
390;0.791;1.076
395;0.787;1.07
400;0.791;1.076
405;0.785;1.07
410;0.787;1.072
415;0.786;1.071
420;0.785;1.071
425;0.787;1.069
430;0.781;1.065
435;0.791;1.074
440;0.789;1.073
445;0.785;1.07
450;0.784;1.071
455;0.784;1.068
460;0.794;1.076
465;0.794;1.076
470;0.788;1.073
475;0.789;1.073
480;0.787;1.073
485;0.788;1.075
490;0.785;1.074
495;0.795;1.078
500;0.789;1.076
505;0.782;1.065
510;0.786;1.071
515;0.788;1.074
520;0.788;1.076
525;0.795;1.082
530;0.784;1.071
535;0.793;1.081
540;0.784;1.07
545;0.787;1.072
550;0.784;1.069
555;0.785;1.068
560;0.794;1.077
565;0.788;1.074
570;0.791;1.078
575;0.789;1.072
580;0.79;1.073
585;0.787;1.068
590;0.791;1.075
595;0.785;1.066
600;0.788;1.071
605;0.795;1.078
610;0.784;1.073
615;0.785;1.072
620;0.783;1.068
625;0.794;1.076
630;0.8;1.086
635;0.795;1.077
640;0.785;1.07
645;0.793;1.078
650;0.793;1.075
655;0.796;1.077
660;0.797;1.081
665;0.789;1.074
670;0.788;1.073
675;0.792;1.077
680;0.787;1.071
685;0.782;1.067
690;0.79;1.074
695;0.792;1.077
