meds_count;alpha;mae;rmse;prec;recall
10;3;0.731283139;1.002118646;0.391940615;0.391940615
15;1;0.730010604;1.001589405;0.393637328;0.393637328
20;2;0.731177094;1.003968795;0.393637328;0.393637328
25;1;0.732131495;1.002541838;0.391304348;0.391304348
30;6;0.731601273;1.004180023;0.393743372;0.393743372
35;6;0.736334746;1.009646271;0.391101695;0.391101695
40;1;0.734851695;1.005651404;0.390254237;0.390254237
45;1;0.731495228;1.004021606;0.393955461;0.393955461
50;7;0.734639831;1.005335343;0.390572034;0.390572034
55;1;0.740783898;1.0113236;0.387076271;0.387076271
60;2;0.738412698;1.008639925;0.388042328;0.388042328
65;1;0.740466102;1.01325955;0.389194915;0.389194915
70;1;0.741226216;1.014587055;0.38794926;0.38794926
75;8;0.743174603;1.015801089;0.387195767;0.387195767
80;7;0.739704329;1.012748724;0.389440338;0.389440338
85;6;0.742389006;1.01432655;0.386575053;0.386575053
90;8;0.743174603;1.016321825;0.387619048;0.387619048
95;3;0.743446089;1.016720675;0.388372093;0.388372093
100;6;0.746990496;1.019244601;0.384477297;0.384477297
105;1;0.742526316;1.016495528;0.389157895;0.389157895
110;4;0.742721519;1.013256021;0.38628692;0.38628692
115;1;0.747794118;1.022077716;0.387184874;0.387184874
120;1;0.747629083;1.018739071;0.384720759;0.384720759
125;4;0.749421661;1.02210068;0.385068349;0.385068349
130;3;0.749789474;1.020784012;0.383894737;0.383894737
135;3;0.747003155;1.019680163;0.386119874;0.386119874
140;5;0.742602308;1.014739226;0.387618048;0.387618048
145;3;0.753515215;1.027583888;0.383315845;0.383315845
150;2;0.750890052;1.022316433;0.382408377;0.382408377
155;8;0.74519833;1.018564629;0.388204593;0.388204593
160;1;0.747958115;1.018725207;0.384816754;0.384816754
165;3;0.7502079;1.021545444;0.383264033;0.383264033
170;5;0.758508403;1.029960838;0.378676471;0.378676471
175;8;0.748430962;1.021883977;0.386401674;0.386401674
180;8;0.752489627;1.022059592;0.381120332;0.381120332
185;3;0.752910603;1.025506315;0.382120582;0.382120582
190;8;0.758945191;1.03231149;0.380455016;0.380455016
195;3;0.761303891;1.032693741;0.378023134;0.378023134
200;3;0.757202505;1.030029288;0.380897704;0.380897704
205;3;0.750992685;1.023598259;0.384848485;0.384848485
210;2;0.762266112;1.033583677;0.376299376;0.376299376
215;3;0.757971014;1.030387171;0.380227743;0.380227743
220;8;0.759001041;1.032661212;0.381581686;0.381581686
