k;alpha;mae;rmse;prec;recall
10;1;0.733616119;1.002118646;0.389077413;0.389077413
15;3;0.734040297;1.003704696;0.38971368;0.38971368
20;1;0.73223754;1.002277364;0.390774125;0.390774125
25;8;0.732979852;1.003599038;0.39088017;0.39088017
30;1;0.73223754;1.002383162;0.390774125;0.390774125
35;1;0.732449629;1.002594725;0.390562036;0.390562036
40;7;0.731283139;1.001906983;0.391728526;0.391728526
45;7;0.730646872;1.001589405;0.392470838;0.392470838
50;1;0.730540827;1.001324679;0.392364793;0.392364793
55;6;0.730540827;1.001324679;0.392364793;0.392364793
60;6;0.731389183;1.001854061;0.391728526;0.391728526
65;8;0.730540827;1.001218769;0.392364793;0.392364793
70;2;0.731389183;1.001006916;0.391092259;0.391092259
75;1;0.731177094;1.001218769;0.391410392;0.391410392
80;3;0.731177094;1.001642342;0.391834571;0.391834571
85;1;0.730540827;1.000900973;0.392152704;0.392152704
90;5;0.731495228;1.001589405;0.391410392;0.391410392
95;8;0.731283139;1.00116581;0.391516437;0.391516437
100;4;0.73107105;1.001271726;0.391834571;0.391834571
105;1;0.730752916;1.001112848;0.392152704;0.392152704
110;4;0.730752916;1.001112848;0.391940615;0.391940615
115;1;0.729692471;0.999628775;0.392364793;0.392364793
120;4;0.728950159;0.999151284;0.39300106;0.39300106
125;1;0.730010604;1.000106039;0.392258749;0.392258749
130;1;0.72990456;0.999734854;0.392152704;0.392152704
135;6;0.728950159;0.999469637;0.39321315;0.39321315
140;1;0.72873807;0.999151284;0.393319194;0.393319194
145;1;0.729480382;0.999522686;0.392576882;0.392576882
150;1;0.729586426;1.000106039;0.392895016;0.392895016
155;8;0.730010604;1.000424088;0.392576882;0.392576882
160;8;0.730434783;1.001059884;0.392576882;0.392576882
165;5;0.730116649;1.000689052;0.392682927;0.392682927
170;1;0.730116649;1.000795018;0.392788971;0.392788971
175;8;0.730540827;1.001430578;0.392788971;0.392788971
180;7;0.730752916;1.001324679;0.392470838;0.392470838
185;6;0.730540827;1.001218769;0.392682927;0.392682927
190;1;0.730434783;1.00116581;0.392788971;0.392788971
195;1;0.730540827;1.001536465;0.392788971;0.392788971
200;1;0.730752916;1.001642342;0.392576882;0.392576882
205;1;0.730434783;1.000953946;0.392364793;0.392364793
210;8;0.730540827;1.001112848;0.392364793;0.392364793
215;1;0.730222694;1.000742036;0.392364793;0.392364793
220;1;0.730752916;1.001112848;0.39204666;0.39204666
225;1;0.730540827;1.001112848;0.392258749;0.392258749
230;2;0.730965005;1.001218769;0.391834571;0.391834571
235;6;0.730540827;1.001112848;0.392258749;0.392258749
240;1;0.730540827;1.001006916;0.392258749;0.392258749
245;1;0.730434783;1.001059884;0.392364793;0.392364793
