meds_count;mae;rmse;prec;recall
10;0.730858961;1.001589405;0.392258749;0.392258749
15;0.729480382;0.999416585;0.39204666;0.39204666
20;0.730116649;0.999098215;0.391304348;0.391304348
25;0.73223754;1.004180023;0.392470838;0.392470838
30;0.731601273;1.002594725;0.392258749;0.392258749
35;0.731707317;1.00412722;0.39300106;0.39300106
40;0.732767762;1.003176292;0.39088017;0.39088017
45;0.733580508;1.004175604;0.390677966;0.390677966
50;0.73315678;1.004597482;0.391737288;0.391737288
55;0.73223754;1.001642342;0.39088017;0.39088017
60;0.731707317;1.004760672;0.39321315;0.39321315
65;0.733333333;1.003591434;0.390899471;0.390899471
70;0.733333333;1.006013664;0.393227513;0.393227513
75;0.735873016;1.00706499;0.39037037;0.39037037
80;0.72984127;1.001533216;0.393968254;0.393968254
85;0.740063425;1.011299794;0.387632135;0.387632135
90;0.736642027;1.007050121;0.388912355;0.388912355
95;0.73649789;1.0086127;0.390611814;0.390611814
100;0.735548523;1.009605763;0.392721519;0.392721519
105;0.741877637;1.016062974;0.38871308;0.38871308
110;0.741877637;1.014712447;0.388185654;0.388185654
115;0.741288279;1.016547359;0.390390707;0.390390707
120;0.737974684;1.012474931;0.391350211;0.391350211
125;0.741244726;1.011380391;0.38628692;0.38628692
130;0.744046365;1.01428158;0.384720759;0.384720759
135;0.739116719;1.011344692;0.390115668;0.390115668
140;0.745693277;1.016409482;0.385189076;0.385189076
145;0.746113445;1.018061678;0.385084034;0.385084034
150;0.741841004;1.012164506;0.385878661;0.385878661
155;0.748643006;1.0217877;0.384133612;0.384133612
160;0.742677824;1.018654457;0.390481172;0.390481172
165;0.750679206;1.021503389;0.381922675;0.381922675
170;0.747120419;1.019136273;0.384293194;0.384293194
175;0.742648592;1.019926596;0.390198123;0.390198123
180;0.746875;1.018986425;0.3853125;0.3853125
185;0.74539749;1.022549116;0.390271967;0.390271967
190;0.746458333;1.019190856;0.3859375;0.3859375
195;0.750988554;1.0265467;0.386056191;0.386056191
200;0.750726141;1.025555208;0.385373444;0.385373444
205;0.747866805;1.023297805;0.38792924;0.38792924
210;0.747835052;1.025348822;0.389381443;0.389381443
215;0.761105318;1.033283437;0.377267987;0.377267987
220;0.747925311;1.024188779;0.387966805;0.387966805
225;0.759339525;1.030995391;0.377605779;0.377605779
230;0.750515464;1.026454211;0.386391753;0.386391753
235;0.7492276;1.026678124;0.387950566;0.387950566
240;0.753626149;1.027208998;0.382941777;0.382941777
245;0.76185567;1.036150688;0.378556701;0.378556701
250;0.756069959;1.031150622;0.383847737;0.383847737
255;0.766871795;1.040759092;0.377641026;0.377641026
260;0.761737332;1.036460447;0.380765253;0.380765253
265;0.753790984;1.027341388;0.382684426;0.382684426
270;0.764271047;1.036896332;0.376386037;0.376386037
275;0.757157464;1.035415805;0.385378323;0.385378323
280;0.776127049;1.050809602;0.37192623;0.37192623
285;0.76595092;1.038866379;0.37607362;0.37607362
290;0.756880734;1.031264576;0.381549439;0.381549439
295;0.760383065;1.035703361;0.379737903;0.379737903
300;0.762653061;1.036379097;0.377857143;0.377857143
305;0.766326531;1.043737398;0.380306122;0.380306122
310;0.764764765;1.038594569;0.377577578;0.377577578
315;0.766365462;1.042904887;0.378614458;0.378614458
320;0.76102719;1.03887188;0.382376636;0.382376636
325;0.775151515;1.051405985;0.374646465;0.374646465
330;0.767907445;1.040381837;0.375251509;0.375251509
335;0.775223881;1.048524194;0.371343284;0.371343284
340;0.767761194;1.046672054;0.38079602;0.38079602
345;0.773158426;1.052314733;0.378002018;0.378002018
350;0.774552684;1.051081049;0.373658052;0.373658052
355;0.7681;1.041681333;0.3764;0.3764
360;0.77218345;1.048998953;0.376171486;0.376171486
