meds_count;mae;rmse;prec;recall
10;0.733297985;1.004180023;0.390986214;0.390986214
15;0.732449629;1.0047079;0.392576882;0.392576882
20;0.733085896;1.00650061;0.392470838;0.392470838
25;0.732343584;1.005499195;0.39321315;0.39321315
30;0.733510074;1.006395245;0.392470838;0.392470838
35;0.736903499;1.008605602;0.389925769;0.389925769
40;0.73551797;1.008421201;0.391437632;0.391437632
45;0.734994698;1.008290133;0.392152704;0.392152704
50;0.736363636;1.009049958;0.390486258;0.390486258
55;0.73957672;1.014028584;0.390582011;0.390582011
60;0.740952381;1.01324561;0.387301587;0.387301587
65;0.746772487;1.015801089;0.381904762;0.381904762
70;0.737923729;1.010537699;0.390360169;0.390360169
75;0.742857143;1.015436414;0.387301587;0.387301587
80;0.74184322;1.01560911;0.388665254;0.388665254
85;0.739493136;1.014207417;0.391446674;0.391446674
90;0.742555438;1.018311749;0.390285111;0.390285111
95;0.741684211;1.013384117;0.388842105;0.388842105
100;0.743763214;1.016564708;0.386786469;0.386786469
105;0.749525817;1.023177142;0.384826133;0.384826133
110;0.749419219;1.021883058;0.384266103;0.384266103
115;0.745052632;1.021763182;0.389157895;0.389157895
120;0.745425868;1.015080817;0.384227129;0.384227129
125;0.745215563;1.019731723;0.388117771;0.388117771
130;0.748478489;1.020822046;0.384679958;0.384679958
135;0.745283019;1.019618871;0.388574423;0.388574423
140;0.749578947;1.022638486;0.385789474;0.385789474
145;0.74665272;1.022958217;0.389016736;0.389016736
150;0.752879581;1.027068211;0.384293194;0.384293194
155;0.753151261;1.024695077;0.382037815;0.382037815
160;0.749109948;1.024209566;0.386387435;0.386387435
165;0.758909853;1.032694061;0.381236897;0.381236897
170;0.756649215;1.034078997;0.384921466;0.384921466
175;0.75625;1.032392044;0.383333333;0.383333333
180;0.755078534;1.028239995;0.382303665;0.382303665
185;0.754079498;1.032069457;0.386506276;0.386506276
190;0.759456635;1.03320018;0.380982236;0.380982236
195;0.761810614;1.035830512;0.379708637;0.379708637
200;0.75421436;1.028116693;0.384079084;0.384079084
205;0.76322314;1.039707524;0.380371901;0.380371901
210;0.75336091;1.028095497;0.384281282;0.384281282
215;0.761721992;1.033314371;0.378423237;0.378423237
220;0.759109731;1.035948071;0.383643892;0.383643892
225;0.756262834;1.03203314;0.384086242;0.384086242
230;0.761728395;1.034189211;0.377366255;0.377366255
235;0.761562179;1.038419227;0.382425488;0.382425488
240;0.768;1.046312205;0.380205128;0.380205128
245;0.761791967;1.037057947;0.382286303;0.382286303
250;0.767112025;1.045029345;0.37995889;0.37995889
255;0.763543788;1.038367825;0.380040733;0.380040733
260;0.758444217;1.035105402;0.382702149;0.382702149
265;0.76116208;1.033634168;0.379510703;0.379510703
270;0.771807967;1.044172505;0.373953013;0.373953013
275;0.768629442;1.042010941;0.374314721;0.374314721
280;0.767817259;1.042108367;0.375837563;0.375837563
285;0.768302658;1.037339684;0.37198364;0.37198364
290;0.773421589;1.044186701;0.370977597;0.370977597
295;0.77145749;1.044554028;0.37388664;0.37388664
