med_count;mae;rmse;prec;recall
10;0.727253446;1.000424088;0.444216341;0.277106138
15;0.725662778;0.997292198;0.437063505;0.276957496
20;0.727783669;0.999204349;0.447248712;0.276052025
25;0.728419936;1.001006916;0.413401427;0.275385742
30;0.727253446;0.999045143;0.436052855;0.276611094
35;0.729480382;1.001854061;0.43439578;0.276045154
40;0.728950159;1.000636065;0.421700129;0.275124289
45;0.726193001;1.000636065;0.447668858;0.278999054
50;0.729480382;1.001324679;0.443594282;0.276995219
55;0.729162248;1.003176292;0.446533586;0.278725644
60;0.732343584;1.002859115;0.440437698;0.273166917
65;0.728950159;1.002964852;0.450115108;0.278267755
70;0.731919406;1.003704696;0.424904507;0.27611437
75;0.735100742;1.007395769;0.395696129;0.274228881
80;0.73107105;1.005182752;0.47113192;0.278898502
85;0.735418876;1.0076589;0.424468562;0.275195999
90;0.732873807;1.005235499;0.427920734;0.27827927
95;0.734782609;1.009341312;0.429374438;0.276830624
100;0.727359491;1.001112848;0.384285874;0.279280677
