k;mae;rmse;prec;recall
10;0.728313892;1.00750103;0.400424178;0.400424178
15;0.723753977;1.002806243;0.402969247;0.402969247
20;0.720572641;0.99697315;0.40233298;0.40233298
25;0.718133616;0.996707198;0.405408271;0.405408271
30;0.718557794;0.995003424;0.403181336;0.403181336
35;0.722057264;0.99718586;0.4;0.4
40;0.719830329;0.996068624;0.402014846;0.402014846
45;0.720890774;0.995323104;0.400106045;0.400106045
50;0.72195122;0.995642681;0.398939555;0.398939555
55;0.722269353;0.994310432;0.397560976;0.397560976
60;0.721633086;0.995695934;0.399045599;0.399045599
65;0.723117709;0.996228306;0.397985154;0.397985154
70;0.722269353;0.995482905;0.398621421;0.398621421
75;0.72290562;0.99697315;0.39883351;0.39883351
80;0.72195122;0.995642681;0.399045599;0.399045599
85;0.723117709;0.996441175;0.398091198;0.398091198
90;0.723647932;0.996494386;0.39766702;0.39766702
95;0.724708378;0.996707198;0.396394486;0.396394486
100;0.723860021;0.995216555;0.396394486;0.396394486
105;0.724602333;0.997292198;0.396924708;0.396924708
110;0.725450689;0.997292198;0.395652174;0.395652174
115;0.723647932;0.996281528;0.397242842;0.397242842
120;0.725132556;0.997557994;0.396288441;0.396288441
125;0.725768823;0.998301846;0.395970308;0.395970308
130;0.725874867;0.998248732;0.395864263;0.395864263
135;0.725344645;0.997239031;0.395758218;0.395758218
140;0.725450689;0.997611145;0.395864263;0.395864263
145;0.726086957;0.998036248;0.395546129;0.395546129
150;0.724602333;0.997398525;0.396924708;0.396924708
155;0.724920467;0.997664292;0.396606575;0.396606575
160;0.724602333;0.997292198;0.396818664;0.396818664
165;0.724602333;0.997929989;0.397348887;0.397348887
170;0.724390244;0.99750484;0.397242842;0.397242842
175;0.724920467;0.997451684;0.39650053;0.39650053
180;0.724602333;0.996441175;0.396076352;0.396076352
185;0.723966066;0.996015391;0.396818664;0.396818664
190;0.724390244;0.997292198;0.397242842;0.397242842
195;0.723435843;0.996281528;0.39766702;0.39766702
200;0.723329799;0.995908917;0.397560976;0.397560976
205;0.723860021;0.996813587;0.397560976;0.397560976
210;0.723329799;0.996121854;0.397879109;0.397879109
215;0.723223754;0.996494386;0.398409332;0.398409332
220;0.722799576;0.996068624;0.398727466;0.398727466
225;0.723541888;0.99697315;0.398409332;0.398409332
230;0.723223754;0.996707198;0.398621421;0.398621421
235;0.723329799;0.996441175;0.398197243;0.398197243
