med_count;mae;rmse;prec;recall
10;0.728950159;1.001059884;0.457357843;0.275556439
15;0.730965005;1.003440529;0.433949029;0.275214504
20;0.730222694;1.002541838;0.43023601;0.275002713
25;0.731601273;1.003863164;0.507633279;0.275523883
30;0.72990456;1.003757522;0.441437102;0.277034641
35;0.732767762;1.006131784;0.445868349;0.275857526
40;0.734040297;1.008763299;0.448769286;0.276828799
45;0.732449629;1.003651869;0.469364338;0.275546729
50;0.731495228;1.005182752;0.448623834;0.279809415
55;0.73340403;1.00855303;0.474652576;0.27758532
60;0.732767762;1.006447929;0.454855015;0.275528093
65;0.73669141;1.008290133;0.485213868;0.275048829
70;0.73669141;1.010601283;0.503167799;0.277343286
75;0.73573701;1.011178245;0.43305358;0.27716304
80;0.739342524;1.011597647;0.448760923;0.275119069
85;0.73902439;1.011335541;0.429071699;0.274922498
90;0.739342524;1.015051101;0.451732658;0.275805247
95;0.74019088;1.012540666;0.457859417;0.275393509
100;0.739660657;1.014580868;0.438926389;0.276701881
