k;mae;rmse;prec;recall
10;0.733934252;1.002806243;0.389077413;0.389077413
15;0.733722163;1.003651869;0.390031813;0.390031813
20;0.732131495;1.002118646;0.390774125;0.390774125
25;0.73340403;1.004021606;0.390562036;0.390562036
30;0.73223754;1.002488949;0.39088017;0.39088017
35;0.732979852;1.003070577;0.390243902;0.390243902
40;0.73107105;1.001801135;0.39204666;0.39204666
45;0.730646872;1.001483523;0.392364793;0.392364793
50;0.730858961;1.001589405;0.392152704;0.392152704
55;0.730222694;1.001059884;0.392576882;0.392576882
60;0.731389183;1.001748207;0.391622481;0.391622481
65;0.730010604;1.000742036;0.392682927;0.392682927
70;0.731283139;1.000953946;0.391198303;0.391198303
75;0.731177094;1.001112848;0.391304348;0.391304348
80;0.731283139;1.001589405;0.391622481;0.391622481
85;0.730752916;1.001006916;0.391940615;0.391940615
90;0.731601273;1.001642342;0.391304348;0.391304348
95;0.731283139;1.001271726;0.391622481;0.391622481
100;0.730965005;1.001006916;0.391728526;0.391728526
105;0.73107105;1.001271726;0.391834571;0.391834571
110;0.730752916;1.001112848;0.391940615;0.391940615
115;0.730010604;1.000212067;0.392364793;0.392364793
120;0.728844115;0.999098215;0.393107105;0.393107105
125;0.72990456;0.999946976;0.392258749;0.392258749
130;0.72990456;0.999946976;0.392364793;0.392364793
135;0.728844115;0.999522686;0.393425239;0.393425239
140;0.729162248;0.99936353;0.392895016;0.392895016
145;0.72990456;1.000053021;0.392470838;0.392470838
150;0.730222694;1.000530082;0.392364793;0.392364793
155;0.730328738;1.000689052;0.392364793;0.392364793
160;0.730540827;1.001006916;0.392364793;0.392364793
165;0.730222694;1.000847997;0.392682927;0.392682927
170;0.730328738;1.000900973;0.392576882;0.392576882
175;0.730540827;1.001430578;0.392788971;0.392788971
180;0.730646872;1.001271726;0.392576882;0.392576882
185;0.730434783;1.00116581;0.392788971;0.392788971
190;0.730116649;1.000795018;0.392895016;0.392895016
195;0.730328738;1.001112848;0.392682927;0.392682927
200;0.73107105;1.001801135;0.392258749;0.392258749
205;0.730965005;1.001430578;0.39204666;0.39204666
210;0.73107105;1.001483523;0.391940615;0.391940615
215;0.730540827;1.001218769;0.392364793;0.392364793
220;0.730858961;1.00137763;0.392152704;0.392152704
225;0.73107105;1.001589405;0.391940615;0.391940615
230;0.73107105;1.001271726;0.391728526;0.391728526
235;0.730752916;1.001324679;0.392152704;0.392152704
240;0.730646872;1.001271726;0.392364793;0.392364793
245;0.73107105;1.001695276;0.39204666;0.39204666
250;0.730858961;1.00116581;0.39204666;0.39204666
255;0.730646872;1.00116581;0.392258749;0.392258749
260;0.730646872;1.00137763;0.392364793;0.392364793
265;0.730540827;1.001959903;0.393107105;0.393107105
270;0.730540827;1.001112848;0.392470838;0.392470838
275;0.730858961;1.001695276;0.392364793;0.392364793
280;0.730858961;1.00137763;0.392258749;0.392258749
285;0.730222694;1.00116581;0.392895016;0.392895016
290;0.730010604;1.001059884;0.39321315;0.39321315
295;0.730540827;1.001536465;0.392788971;0.392788971
300;0.72990456;1.001112848;0.393319194;0.393319194
305;0.730752916;1.001536465;0.392470838;0.392470838
310;0.730222694;1.00137763;0.39300106;0.39300106
315;0.72990456;1.001112848;0.39321315;0.39321315
320;0.730010604;1.00137763;0.393319194;0.393319194
325;0.729692471;1.001112848;0.393531283;0.393531283
330;0.729586426;1.001271726;0.393849417;0.393849417
335;0.729586426;1.001271726;0.393849417;0.393849417
340;0.729480382;1.000900973;0.393637328;0.393637328
345;0.729268293;1.000795018;0.393849417;0.393849417
350;0.729692471;1.001112848;0.393531283;0.393531283
355;0.729798515;1.000953946;0.39321315;0.39321315
360;0.729586426;1.000742036;0.393319194;0.393319194
365;0.729692471;1.001112848;0.393531283;0.393531283
370;0.729374337;1.000742036;0.393637328;0.393637328
375;0.72990456;1.001324679;0.393425239;0.393425239
380;0.730222694;1.00137763;0.39300106;0.39300106
385;0.730540827;1.001536465;0.392682927;0.392682927
390;0.730328738;1.001324679;0.392895016;0.392895016
395;0.730116649;1.001218769;0.393107105;0.393107105
400;0.729798515;1.001271726;0.393531283;0.393531283
405;0.729480382;1.000795018;0.393531283;0.393531283
410;0.729798515;1.000953946;0.39321315;0.39321315
415;0.729798515;1.00116581;0.393425239;0.393425239
420;0.729374337;1.000847997;0.393743372;0.393743372
425;0.72990456;1.001324679;0.393425239;0.393425239
430;0.72990456;1.001218769;0.393319194;0.393319194
435;0.729374337;1.000953946;0.393849417;0.393849417
440;0.729798515;1.00116581;0.393425239;0.393425239
445;0.730116649;1.001536465;0.39321315;0.39321315
450;0.730116649;1.001324679;0.393107105;0.393107105
455;0.729798515;1.00116581;0.393425239;0.393425239
460;0.730010604;1.00137763;0.393319194;0.393319194
465;0.729798515;1.000953946;0.39321315;0.39321315
470;0.729268293;1.000265076;0.393425239;0.393425239
475;0.729692471;1.000900973;0.393319194;0.393319194
480;0.729798515;1.000953946;0.393319194;0.393319194
485;0.72990456;1.000689052;0.392895016;0.392895016
490;0.730010604;1.000742036;0.392788971;0.392788971
495;0.729586426;1.000424088;0.393107105;0.393107105
500;0.729586426;1.000106039;0.392788971;0.392788971
505;0.729374337;1;0.39300106;0.39300106
510;0.72990456;1.000265076;0.392576882;0.392576882
515;0.729692471;1.000053021;0.392682927;0.392682927
520;0.729798515;1.000106039;0.392576882;0.392576882
525;0.730010604;1.000212067;0.392364793;0.392364793
530;0.729692471;1.000265076;0.392788971;0.392788971
535;0.729586426;1.000106039;0.392788971;0.392788971
540;0.729374337;0.999681816;0.392682927;0.392682927
545;0.729586426;0.99989395;0.392576882;0.392576882
550;0.729798515;1.000424088;0.392788971;0.392788971
555;0.730540827;1.001324679;0.392470838;0.392470838
560;0.730222694;1.00137763;0.392895016;0.392895016
565;0.730010604;1.00116581;0.39300106;0.39300106
570;0.730116649;1.001324679;0.39300106;0.39300106
575;0.730116649;1.001536465;0.393107105;0.393107105
580;0.72990456;1.001430578;0.393319194;0.393319194
585;0.729162248;1.000742036;0.393743372;0.393743372
590;0.729374337;1.000847997;0.393531283;0.393531283
595;0.729480382;1.001006916;0.393531283;0.393531283
600;0.729798515;1.001059884;0.393107105;0.393107105
605;0.730328738;1.001536465;0.392788971;0.392788971
610;0.730222694;1.001483523;0.39300106;0.39300106
615;0.730752916;1.001642342;0.392364793;0.392364793
620;0.730858961;1.001695276;0.392258749;0.392258749
625;0.730752916;1.001536465;0.392258749;0.392258749
630;0.730858961;1.001906983;0.392470838;0.392470838
635;0.73107105;1.002224461;0.392364793;0.392364793
640;0.731283139;1.002012821;0.391940615;0.391940615
