med_count;mae;rmse;prec;recall
10;0.733934252;1.002806243;0.461583902;0.271004991
15;0.733722163;1.003651869;0.443020165;0.270792589
20;0.732131495;1.002118646;0.445463976;0.271749256
25;0.73340403;1.004021606;0.44358554;0.271775857
30;0.73223754;1.002488949;0.45249574;0.271721228
35;0.732979852;1.003070577;0.432377923;0.270920336
40;0.73107105;1.001801135;0.450914716;0.273301946
45;0.730646872;1.001483523;0.453148822;0.27367693
50;0.730858961;1.001589405;0.443865263;0.273343914
55;0.730222694;1.001059884;0.435955777;0.273492716
60;0.731389183;1.001748207;0.435097419;0.272807778
65;0.730010604;1.000742036;0.435788436;0.273564853
70;0.731283139;1.000953946;0.433586054;0.272091098
75;0.731177094;1.001112848;0.444164835;0.272492682
80;0.731283139;1.001589405;0.435351717;0.27254859
85;0.730752916;1.001006916;0.434774499;0.272687989
90;0.731601273;1.001642342;0.435670833;0.272333631
95;0.731283139;1.001271726;0.435826913;0.272732232
100;0.730965005;1.001006916;0.435882499;0.272848744
105;0.73107105;1.001271726;0.435555987;0.272749034
110;0.730752916;1.001112848;0.434167106;0.272907073
115;0.730010604;1.000212067;0.435369523;0.27334237
120;0.728844115;0.999098215;0.436454547;0.273927451
125;0.72990456;0.999946976;0.435851816;0.273280633
130;0.72990456;0.999946976;0.435833636;0.273416478
135;0.728844115;0.999522686;0.436500262;0.273933697
140;0.729162248;0.99936353;0.436616098;0.273697289
145;0.72990456;1.000053021;0.435626627;0.273390874
150;0.730222694;1.000530082;0.435868782;0.273318752
155;0.730328738;1.000689052;0.435550294;0.273385335
160;0.730540827;1.001006916;0.435777091;0.273385335
165;0.730222694;1.000847997;0.436371983;0.273566276
170;0.730328738;1.000900973;0.436864546;0.27358007
175;0.730540827;1.001430578;0.437209395;0.27365917
180;0.730646872;1.001271726;0.436461721;0.273495577
185;0.730434783;1.00116581;0.436628231;0.273691736
190;0.730116649;1.000795018;0.437497968;0.27381721
195;0.730328738;1.001112848;0.437291417;0.273718777
200;0.73107105;1.001801135;0.436202613;0.273314636
205;0.730965005;1.001430578;0.4357962;0.273173238
210;0.73107105;1.001483523;0.435821076;0.273231422
215;0.730540827;1.001218769;0.436793483;0.273527451
220;0.730858961;1.00137763;0.436067004;0.273243937
225;0.73107105;1.001589405;0.435639849;0.273089306
230;0.73107105;1.001271726;0.436169728;0.272946484
235;0.730752916;1.001324679;0.4362939;0.273319469
240;0.730646872;1.001271726;0.435911996;0.27330979
245;0.73107105;1.001695276;0.435643702;0.273128849
250;0.730858961;1.00116581;0.436173827;0.273096269
255;0.730646872;1.00116581;0.435602574;0.273206511
260;0.730646872;1.00137763;0.435866814;0.273320175
265;0.730540827;1.001959903;0.436159679;0.273776375
270;0.730540827;1.001112848;0.436044715;0.273380489
275;0.730858961;1.001695276;0.4353128;0.273232821
280;0.730858961;1.00137763;0.435481227;0.273194702
285;0.730222694;1.00116581;0.435160742;0.273492861
290;0.730010604;1.001059884;0.435806191;0.273728577
295;0.730540827;1.001536465;0.435958453;0.273420739
300;0.72990456;1.001112848;0.437605155;0.274199156
305;0.730752916;1.001536465;0.436263124;0.273424878
310;0.730222694;1.00137763;0.437558582;0.273887909
315;0.72990456;1.001112848;0.437979776;0.274095891
320;0.730010604;1.00137763;0.43779057;0.273982933
325;0.729692471;1.001112848;0.438315565;0.274288641
330;0.729586426;1.001271726;0.438862849;0.274632468
335;0.729586426;1.001271726;0.438027292;0.274351085
340;0.729480382;1.000900973;0.437974072;0.274240843
345;0.729268293;1.000795018;0.438418836;0.274534742
350;0.729692471;1.001112848;0.437646254;0.27416872
355;0.729798515;1.000953946;0.436511978;0.273826317
360;0.729586426;1.000742036;0.4371217;0.274049517
365;0.729692471;1.001112848;0.437214946;0.274170144
370;0.729374337;1.000742036;0.437667672;0.274382958
375;0.72990456;1.001324679;0.437567456;0.274217942
380;0.730222694;1.00137763;0.436106334;0.273674534
385;0.730540827;1.001536465;0.436823164;0.273665426
390;0.730328738;1.001324679;0.437220523;0.273829019
395;0.730116649;1.001218769;0.437373206;0.274090338
400;0.729798515;1.001271726;0.437797372;0.274233866
405;0.729480382;1.000795018;0.438211004;0.274374557
410;0.729798515;1.000953946;0.437571849;0.274161037
415;0.729798515;1.00116581;0.437802952;0.274303858
420;0.729374337;1.000847997;0.438751319;0.274549959
425;0.72990456;1.001324679;0.437508132;0.274228327
430;0.72990456;1.001218769;0.438201258;0.274113239
435;0.729374337;1.000953946;0.438522813;0.274654662
440;0.729798515;1.00116581;0.438325727;0.274346824
445;0.730116649;1.001536465;0.438258315;0.274248391
450;0.730116649;1.001324679;0.436987133;0.273970417
455;0.729798515;1.00116581;0.437773907;0.274206132
460;0.730010604;1.00137763;0.43758797;0.274048079
465;0.729798515;1.000953946;0.437703558;0.273998151
470;0.729268293;1.000265076;0.437965628;0.274183938
475;0.729692471;1.000900973;0.438208755;0.274111815
480;0.729798515;1.000953946;0.438204154;0.274123624
485;0.72990456;1.000689052;0.43752537;0.27384979
490;0.730010604;1.000742036;0.437831911;0.273755472
495;0.729586426;1.000424088;0.437812484;0.273948222
500;0.729586426;1.000106039;0.437194748;0.273745087
505;0.729374337;1;0.437133277;0.273889332
510;0.72990456;1.000265076;0.436909391;0.273537105
515;0.729692471;1.000053021;0.437314481;0.273619613
520;0.729798515;1.000106039;0.437082714;0.273569685
525;0.730010604;1.000212067;0.436833078;0.273416478
530;0.729692471;1.000265076;0.437179613;0.273712507
535;0.729586426;1.000106039;0.437297731;0.273788052
540;0.729374337;0.999681816;0.437114281;0.273739548
545;0.729586426;0.99989395;0.437041535;0.27361265
550;0.729798515;1.000424088;0.437144758;0.273777667
555;0.730540827;1.001324679;0.4370929;0.273627868
560;0.730222694;1.00137763;0.43728729;0.273935706
565;0.730010604;1.00116581;0.437095184;0.273898294
570;0.730116649;1.001324679;0.436919969;0.273843519
575;0.730116649;1.001536465;0.436989328;0.273936413
580;0.72990456;1.001430578;0.437074197;0.27405704
585;0.729162248;1.000742036;0.437120394;0.274354493
590;0.729374337;1.000847997;0.437630486;0.274307974
595;0.729480382;1.001006916;0.437478823;0.274297588
600;0.729798515;1.001059884;0.436865417;0.273849058
605;0.730328738;1.001536465;0.436839108;0.273754034
610;0.730222694;1.001483523;0.437495643;0.274047933
615;0.730752916;1.001642342;0.436311577;0.273490585
620;0.730858961;1.001695276;0.436563319;0.273440657
625;0.730752916;1.001536465;0.436382747;0.273495432
630;0.730858961;1.001906983;0.436710684;0.273811525
635;0.73107105;1.002224461;0.436449207;0.273600134
640;0.731283139;1.002012821;0.436548979;0.273324876
645;0.730752916;1.001854061;0.437000426;0.273693028
650;0.730858961;1.002012821;0.436512792;0.273704837
655;0.730434783;1.001801135;0.437037348;0.273968286
660;0.730328738;1.001536465;0.437056391;0.27402647
665;0.730328738;1.001748207;0.437295841;0.274157482
670;0.730328738;1.001642342;0.445870957;0.274210393
675;0.729798515;1.001271726;0.446071218;0.274518231
680;0.730434783;1.001695276;0.436220785;0.273722892
685;0.729480382;1.001006916;0.436901829;0.274309411
690;0.729798515;1.00137763;0.436561439;0.274216518
695;0.730010604;1.00137763;0.43628672;0.273860882
