meds_count;mae;rmse;prec;recall
10;0.730965005;1.002065735;0.392470838;0.392470838
15;0.730116649;1.001218769;0.392895016;0.392895016
20;0.732979852;1.005815539;0.392895016;0.392895016
25;0.730752916;1.002700489;0.393319194;0.393319194
30;0.734994698;1.005446462;0.389819724;0.389819724
35;0.73315678;1.00428109;0.391631356;0.391631356
40;0.73559322;1.007808497;0.390572034;0.390572034
45;0.73559322;1.007493113;0.390677966;0.390677966
50;0.737221633;1.006447929;0.387592789;0.387592789
55;0.737288136;1.008754056;0.389194915;0.389194915
60;0.736440678;1.006546369;0.388983051;0.388983051
65;0.737394068;1.008911563;0.389618644;0.389618644
70;0.739365079;1.011416315;0.389206349;0.389206349
75;0.737182203;1.009646271;0.390889831;0.390889831
80;0.738600212;1.010601283;0.38971368;0.38971368
85;0.739852008;1.011195261;0.38794926;0.38794926
90;0.739556962;1.011276087;0.389029536;0.389029536
95;0.745983087;1.017240391;0.384778013;0.384778013
100;0.748105263;1.016340183;0.382105263;0.382105263
105;0.74535865;1.018913958;0.386603376;0.386603376
110;0.747629083;1.017600641;0.382929399;0.382929399
115;0.746617336;1.018071385;0.385095137;0.385095137
120;0.744071354;1.01597936;0.386358867;0.386358867
125;0.747423764;1.018751633;0.384858044;0.384858044
130;0.743263158;1.01499287;0.386947368;0.386947368
135;0.751629863;1.022666357;0.380757098;0.380757098
140;0.752054795;1.024000708;0.382929399;0.382929399
145;0.749159664;1.019247539;0.382668067;0.382668067
150;0.751260504;1.023258923;0.383613445;0.383613445
155;0.753180396;1.026906021;0.384358707;0.384358707
160;0.755357143;1.024438768;0.379096639;0.379096639
165;0.752137643;1.024364296;0.383315954;0.383315954
170;0.757157785;1.028943722;0.379728318;0.379728318
175;0.753493222;1.026245778;0.383420229;0.383420229
180;0.758718487;1.027612473;0.37657563;0.37657563
185;0.763261094;1.034293306;0.376986584;0.376986584
190;0.753284672;1.024924016;0.382273201;0.382273201
195;0.753187043;1.023138777;0.380982236;0.380982236
200;0.757960458;1.028824936;0.379188345;0.379188345
205;0.765871369;1.037522184;0.376141079;0.376141079
210;0.764681296;1.034413094;0.375339603;0.375339603
215;0.754423868;1.026250116;0.382613169;0.382613169
220;0.759481865;1.029361692;0.378549223;0.378549223
225;0.759526262;1.030382929;0.378784758;0.378784758
