med_count;mae;rmse;prec;recall
10;0.741463415;1.011283111;0.384729586;0.384729586
15;0.737645811;1.00844788;0.388016967;0.388016967
20;0.734464475;1.004760672;0.389183457;0.389183457
25;0.732131495;1.003070577;0.391304348;0.391304348
30;0.73107105;1.001059884;0.390668081;0.390668081
35;0.731283139;1.00116581;0.390774125;0.390774125
40;0.730328738;1.000689052;0.391940615;0.391940615
45;0.730222694;1.000847997;0.392152704;0.392152704
50;0.730222694;1;0.391622481;0.391622481
55;0.729798515;1.000742036;0.392788971;0.392788971
60;0.730116649;1.000371087;0.392152704;0.392152704
65;0.72990456;1.000689052;0.392470838;0.392470838
70;0.73107105;1.001589405;0.391410392;0.391410392
75;0.730965005;1.001536465;0.391834571;0.391834571
80;0.731601273;1.001748207;0.391092259;0.391092259
85;0.730752916;1.000689052;0.391410392;0.391410392
90;0.730646872;1.000847997;0.391834571;0.391834571
95;0.730434783;1.001271726;0.392470838;0.392470838
100;0.730328738;1.000689052;0.39204666;0.39204666
105;0.729586426;1.000106039;0.392682927;0.392682927
110;0.731177094;1.001324679;0.391622481;0.391622481
115;0.730858961;1.001271726;0.39204666;0.39204666
120;0.730116649;1.001218769;0.39300106;0.39300106
125;0.729692471;1.000583075;0.39300106;0.39300106
130;0.730646872;1.00137763;0.392258749;0.392258749
135;0.729162248;1.000530082;0.393531283;0.393531283
140;0.730116649;1.000900973;0.392682927;0.392682927
145;0.730222694;1.00116581;0.392895016;0.392895016
150;0.729798515;1.000847997;0.393107105;0.393107105
155;0.730116649;1.001218769;0.39300106;0.39300106
160;0.729798515;1.00116581;0.393425239;0.393425239
165;0.729798515;1.000530082;0.392895016;0.392895016
170;0.729374337;1.000106039;0.393107105;0.393107105
175;0.72990456;1.000583075;0.392788971;0.392788971
180;0.730540827;1.000583075;0.391940615;0.391940615
185;0.730222694;1.000424088;0.392258749;0.392258749
190;0.730116649;1.000477087;0.392470838;0.392470838
195;0.73107105;1.001906983;0.392152704;0.392152704
200;0.72990456;1.000795018;0.39300106;0.39300106
205;0.731283139;1.001589405;0.391834571;0.391834571
210;0.730646872;1.001271726;0.392364793;0.392364793
215;0.730858961;1.001589405;0.392470838;0.392470838
220;0.730540827;1.001218769;0.392470838;0.392470838
225;0.72990456;1.000265076;0.392576882;0.392576882
230;0.729586426;1.000106039;0.39300106;0.39300106
235;0.729374337;1.000212067;0.39321315;0.39321315
240;0.730116649;1.001430578;0.393107105;0.393107105
245;0.730010604;1.00137763;0.39321315;0.39321315
250;0.730328738;1.001324679;0.392788971;0.392788971
255;0.729586426;1.000424088;0.39321315;0.39321315
260;0.730646872;1.001483523;0.392470838;0.392470838
265;0.729798515;1.000953946;0.39321315;0.39321315
270;0.730222694;1.000953946;0.392576882;0.392576882
275;0.72990456;1.000583075;0.392682927;0.392682927
280;0.729692471;1.000477087;0.392895016;0.392895016
285;0.730858961;1.001589405;0.392258749;0.392258749
290;0.72990456;1.000900973;0.39300106;0.39300106
295;0.730434783;1.000742036;0.392152704;0.392152704
300;0.729692471;1.000583075;0.39300106;0.39300106
305;0.730434783;1.00137763;0.392576882;0.392576882
310;0.72990456;1.001112848;0.393107105;0.393107105
315;0.72990456;1.000900973;0.392895016;0.392895016
320;0.729798515;1.000953946;0.39321315;0.39321315
325;0.730222694;1.00116581;0.392682927;0.392682927
330;0.730328738;1.001218769;0.392470838;0.392470838
335;0.729798515;1.001483523;0.393531283;0.393531283
340;0.729056204;1.000477087;0.393743372;0.393743372
345;0.729268293;1.000371087;0.393319194;0.393319194
350;0.72990456;1.001324679;0.39321315;0.39321315
355;0.729692471;1.001324679;0.393531283;0.393531283
360;0.729162248;1.000847997;0.393743372;0.393743372
365;0.728950159;1.000953946;0.394061506;0.394061506
370;0.729480382;1.001324679;0.393637328;0.393637328
375;0.730010604;1.001906983;0.393319194;0.393319194
380;0.730646872;1.002541838;0.39300106;0.39300106
385;0.730434783;1.002224461;0.39300106;0.39300106
390;0.730010604;1.001801135;0.393319194;0.393319194
395;0.731283139;1.003070577;0.392470838;0.392470838
400;0.730752916;1.002171555;0.392576882;0.392576882
405;0.730646872;1.002224461;0.392788971;0.392788971
410;0.730328738;1.002065735;0.393107105;0.393107105
415;0.730965005;1.002383162;0.392576882;0.392576882
420;0.730434783;1.002012821;0.39300106;0.39300106
425;0.730434783;1.002224461;0.393107105;0.393107105
430;0.730010604;1.001589405;0.39321315;0.39321315
435;0.730434783;1.002118646;0.39300106;0.39300106
440;0.730222694;1.002012821;0.39321315;0.39321315
445;0.730646872;1.002224461;0.392788971;0.392788971
